2048 x 2048 sparse matrix, nnz = 7022
(236,675)	3.0
(236,815)	3.0
(236,816)	6.0
(236,910)	6.0
(236,1082)	3.0
(236,1140)	3.0
(237,626)	6.0
(237,682)	6.0
(237,816)	3.0
(237,852)	3.0
(237,1026)	3.0
(238,672)	3.0
(238,849)	3.0
(238,1027)	3.0
(238,1068)	9.0
(238,1140)	12.0
(239,625)	3.0
(239,629)	3.0
(239,817)	3.0
(239,914)	9.0
(239,1011)	9.0
(239,1012)	3.0
(240,625)	6.0
(240,631)	109.0
(240,663)	3.0
(240,667)	12.0
(240,765)	12.0
(240,848)	9.0
(240,935)	6.0
(240,936)	3.0
(240,1155)	3.0
(241,625)	3.0
(241,629)	12.0
(241,630)	3.0
(241,818)	3.0
(241,937)	10.0
(241,1015)	3.0
(241,1137)	6.0
(242,620)	3.0
(242,624)	3.0
(242,625)	3.0
(242,627)	6.0
(242,655)	6.0
(242,663)	3.0
(242,704)	12.0
(242,845)	3.0
(242,1030)	3.0
(242,1068)	6.0
(243,615)	3.0
(243,617)	6.0
(243,618)	3.0
(243,619)	3.0
