geometry;name;time;tipos_vias;f_atmosfericos;fleves;fgraves;mortos;f
14;PORTO;28/04/2008 00:00;Arruamento;Bom tempo;1;0;0;1
2;AVEIRO;22/10/2012 00:00;EN - Estrada Nacional;Chuva;1;0;0;3
14;PORTO;13/06/2011 00:00;EN - Estrada Nacional;Bom tempo;0;0;1;1
3;BEJA;11/07/2011 00:00;IC - Itinerário Complementar;Bom tempo;0;1;0;1
16;SETUBAL;07/09/2009 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;4
3;BEJA;01/01/2007 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;1
14;PORTO;22/10/2007 00:00;A  - Auto-Estrada;Bom tempo;2;2;1;1
4;BRAGA;14/04/2008 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;3
7;COIMBRA;01/03/2010 00:00;IP- Itinerário Principal;Chuva;2;0;0;1
14;PORTO;06/07/2009 00:00;EN - Estrada Nacional;Chuva;1;0;0;1
14;PORTO;02/06/2008 00:00;EN - Estrada Nacional;Bom tempo;5;0;0;1
19;VISEU;08/08/2011 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;4
4;BRAGA;16/04/2012 00:00;EN - Estrada Nacional;Bom tempo;0;0;1;1
16;SETUBAL;17/12/2012 00:00;IC - Itinerário Complementar;Bom tempo;0;0;1;1
4;BRAGA;25/05/2009 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;1
7;COIMBRA;13/02/2012 00:00;EN - Estrada Nacional;Bom tempo;0;0;1;1
15;SANTAREM;19/11/2012 00:00;EN - Estrada Nacional;NÃO DEFINIDO;1;0;0;1
9;FARO;06/06/2011 00:00;EN - Estrada Nacional;Bom tempo;0;0;1;1
16;SETUBAL;15/09/2008 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;3
5;BRAGANCA;09/08/2010 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;1
2;AVEIRO;11/08/2008 00:00;A  - Auto-Estrada;Bom tempo;2;0;0;2
12;LISBOA;04/02/2008 00:00;EN - Estrada Nacional;Chuva;1;0;0;1
